,Clean_Text,Label
93,tahu informasi bagi ppkm wilayah jabar dasar level pikodata,positif
94,patroli rawan malam rangka ppkm level himbauan prokes,positif
95,personel brimob polda jabar tegur masyarakat pakai masker masa ppkm,positif
96,ppkm alas,positif
97,kabid humas polda jabar polisi himbau terap prokes masyarakat kerumun tengah ppkm,netral
98,maklum ppkm mak pelan pelan lebar sungguh sungguh,positif
99,jalan protokol sehat rumah desak masker jaga,positif
100,ppkm level batal pemda aku tunggu regulasi,netral
101,dok coba kritik batal ppkm level nataru,negatif
102,gocek iming iming kolaborasi tau kolaborasi ppkm keren,netral
103,dom ppkm level ppkm level gda,netral
104,ppkm level batal rupiah geliat,netral
105,award batesin ppkm wkwkwk,netral
106,tanggal esok rencana mo bal ktanya ppkm dimajuin tanggal ppkmnya gajadi alias suka ngeprank,netral
107,tahun suram chita nyangkut kek suruh bobo rumah ppkm,netral
108,bobok gich malam kanda kantuk besok kerja lembur kanda fokus kerja dinda,netral
109,taat ppkm,netral
110,klaster sekolah abdurrab heboh pemko pekanbaru terima nasib turun ppkm level,netral
111,senang mudik desa ppkm pelongg,netral
112,ppkm level tiada point instruksi mendagri baru libur nataru,netral
113,paman tito tanggal ppkm opung luhut tinggal milih,netral
114,plandemi jual pcr cuan masuk kantong ppkm setel langgar hak asasi manusia ibadah,negatif
115,ppkm,netral
116,ppkm islam islam mayoritas tindas persepsi kuasa non islam mino,negatif
117,ppkm level batal pemda aku tunggu regulasi,netral
118,pakai nder ketat ppkm,netral
119,cegah lonjak atur wajib ppkm level,positif
120,kesel banget baca dijatim pasutri penjara akibat rayain nikah,negatif
121,koramil tawangmangu jumat tanggal desember sertu joko winarto laksana,netral
122,koramil tawangmangu jumat tanggal desember sertu joko winarto laksana,netral
123,koramil tawangmangu jumat tanggal desember sertu joko winarto laksana,netral
124,ppkm pik nik,negatif
125,koramil tawangmangu jumat tanggal desember sertu joko winarto laksana,netral
126,ajar maaf henti benci benci sempit ruang hidup ppkm rumin,negatif
127,ampuh jaga jarak ppkm,netral
128,koramil tawangmangu tanggal desember serda eko yulianto laksana patroli,positif
129,koramil tawangmangu tanggal desember serda eko yulianto laksana patroli,positif
130,koramil tawangmangu tanggal desember serda eko yulianto laksana patroli,positif
131,koramil tawangmangu tanggal desember serda eko yulianto laksana patroli,positif
132,ampuh jaga jarak ppkm,netral
133,ganjil genap ppkm gajadi lesgo,netral
134,koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro,positif
135,koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro,positif
136,koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro,positif
137,koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro,positif
138,koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro,positif
139,ngendi ngendi macet ppkm teh wae,negatif
140,tenang gelombang muncul saat raya muslim hadap nataru ppkm terap,netral
141,atur ppkm longgar ubah atur ppkm,netral
142,ppkm level batal pemkot bandung,netral
143,besok ppkm,netral
144,sabtu wilkum kalibawang piket siang polsek kalibawang pimpin paw,netral
145,ppkm level labil batas virusny kegiatanya bebas batas,netral
146,foto tema ppkm level jethro,netral
147,ppkm,netral
148,perintah anulir terap ppkm level,netral
149,koramil tawangmangu sabtu desember serda antonius laksana patroli tega disiplin protokol,positif
150,koramil tawangmangu sabtu desember serda antonius laksana patroli tega disiplin protokol,positif
151,koramil tawangmangu sabtu desember serda antonius laksana patroli tega disiplin protokol,positif
152,koramil tawangmangu sabtu desember serda antonius laksana patroli tega disiplin protokol,positif
153,ppkm natura perlu hapus,netral
154,wkwkwk kaga ppkm tahu,netral
155,fakta unik kanguru pohon mantel emas tahu,netral
156,lihat berita libur diadain ppkm uang cair men,netral
157,kasi ngobrol hueueueue beneer ppkm udaaaaaah niza,netral
158,krna kpop hft kdg tabung krna umur muda wkwkw jalan jala,netral
159,zaman ppkm,netral
160,comeback dikit ppkm budget,netral
161,anies resmi teken kepgub ppkm level jakarta libur natal,netral
162,ppkm broo,netral
163,cerita ganti ges ppkm desa tari,netral
164,ppkm batalke ora ono prei semester luputttt,netral
165,sebentar ppkm gabole liar,netral
166,ppkm,netral
167,iye ntu malming ppkm rumah,netral
168,dasar timbang perintah batal ppkm level libur natal selu,netral
169,hadir boss mega win jackpot juta rupiah menang extra,netral
170,narasumber ilc ppkm wewenang full youtube,netral
171,cari bisnis jaring uang kantong pas solusi agan agan,netral
172,hadir boss mega win jackpot juta rupiah menang extra,netral
173,ppkm websitenya book appointment nurut,netral
174,tayang hendri satrio deddy sitorus ilc ppkm wewenang full,netral
175,kolaborasi ppkm,netral
176,sebel banget kolab ppkm jaga jarak,netral
177,gara-gara ppkm kemarin full tutup pantai gunungkidul mbludak,netral
178,oiyahh ppkm,netral
179,ppkm gabut,netral
180,ppkm,netral
181,maksud patuh atur perintah ppkm kakak ban,netral
182,dprd sayang pekanbaru ppkm level,netral
183,kabupaten,netral
184,ppkm lewaaattt,netral
185,jalan protokol sehat rumah desak masker,positif
186,ppkm level batal perintah baru atur laku periode nataru daftar atur,netral
187,giat woro protokol sehat aja vaksinasi sosialisasi ppkm level tanggal jan,positif
188,ppkm nataru patuh prokes,positif
189,doa jabat tobat malapetaka oknum,netral
190,efek psbb ppkm,netral
191,gektas erti nek ate ppkm,netral
192,nobar kait bijak ppkm natal tunggu informasi,netral
193,askrl bijak nataru ppkm batal ganti istilah ragu pergi,netral
194,update rekap data implementasi ppkm zonasi kendali tingkat rukun tetangga kalurahan,netral
195,laku batas giat masyarakat ppkm level periode natal nataru,positif
196,tiket kaga target pakai alesan ppkm level hadeh batam batam,netral
197,kepala staf presiden moeldoko batal ppkm level bijak gas rem presiden,netral
198,ppkm level batal sekolah libur disdik jabar,netral
199,pulang kmpung ppkm,netral
200,personil polsek srandakan pimpin panit samapta aiptu kusfajar sh laksana kryd giat ppkm level patrol,positif
201,bodoh banget mentang uang enak jidat berprilaku penjara freak,negatif
202,bagus ppkm,netral
203,ppkm ketemu galeri penuh asupan daya tahan tubuh gemes,netral
204,ppkm,netral
205,inmendagri beritaterkini beritaviral berita news newsupdate viral viraltiktok viraltwitter,netral
206,inmendagri beritaterkini beritaviral berita news newsupdate viral viraltiktok,netral
207,semenjak ppkm asik motor jogja solo saing truk krl saing,netral
208,ppkm level iii batal wabup wayan diar warga disiplin prokes,netral
209,ppkm,positif
210,bagus patuh atur ppkm,netral
211,bagus patuh atur ppkm,netral
212,berita hangat batal ppkm level natal syarat jalan,netral
213,mutasi mati lemah sifat periksa teliti meni,netral
214,tentu ppkm nataru hallo nawak ngerab admin info tentu ppkm nataru paham dila,netral
215,ihhhh ceffat kesanaaa keburu ppkm lagi binatang,netral
216,ppkm,netral
217,mumpung puasa lebaran ppkm laku,netral
218,atur ganti ppkm level libur nataru ruangmayamedia,netral
219,nulis kategori travel mudah ppkm,netral
220,kejar ppkm mbak,netral
221,ganti ppkm nataru,netral
222,gajadi ppkm vill,netral
223,sticker cermin oval stiker dinding kaca acrylic rekat wallpaper mirror kamar mandi murah cek,netral
224,teman butuh kuat jempol netizen adil oknum tni langgar atur ppkm den,negatif
225,kyai ngapunten mohon cerah referensi perintah shaf sholat rapa,netral
226,ppkm dicancel cari berita,netral
227,rakyat kesan perintah pusat level ppkm salah rakyat,netral
228,rakyat kesan level ppkm salah rakyat kriteria pasti,netral
229,ppkm level batal terap rata ksp perintah batas,netral
230,moga cpet hilang normal ppkm,netral
231,cebong lapar uang akibat ppkm gampang solusi baring jalan tol bodoh,negatif
232,ade ufi hilang bosan ppkm,netral
233,ruslan tayang naik pekanbaru pasal ppkm level,netral
234,pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru,netral
235,ruslan tayang naik pekanbaru pasal ppkm level,netral
236,pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru,netral
237,ruslan tayang naik pekanbaru pasal ppkm level,netral
238,pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru,netral
239,cerita ganti ges ppkm desa tari,netral
240,pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru,netral
241,ruslan tayang naik pekanbaru pasal ppkm level,netral
242,pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru,netral
243,ppkm cancel,netral
244,bekas ppkm,netral
245,disiplin protokol sehat ppkm wilayah camat tembuku,positif
246,guyz berantascovid maksimal guyz lengah viruscovid sebar deng,positif
247,ppkm palangkaraya,netral
248,malam minggu jaga warung balung cicak gara gara revitalisasi jalan kanopi warung hilang ti,netral
249,yhhh kemarin pemrenta ppkm tingkat sekitar tanggal dicepetin,netral
250,abis ppkm level bioskop tutup pecah refund reschedule,netral
251,gausa ppkm proyek baik jalan gali pipa lain malas,netral
252,kirain ppkm level iii cabut lbp fans marvel weaboo,netral
253,rasa ang plus ketat ppkm,netral
254,ppkm level batal masyarakat pilih libur libur nataru,netral
255,ppkm gajadi full masuk gajelas,netral
256,kdg kangen ppkm ketat kangen jalan jakartanya,netral
257,situ suap dikasusin langgar ppkm doank,negatif
258,desember ppkm,netral
259,ppkm next level mim,netral
260,ruwet ppkm hilang,netral
261,ppkm level batal puas jokowi nilai anjlok,negatif
262,rumor tka kirim kesini banyak mantan napi merinding,netral
263,langgan ppkm sepi enaaak,netral
264,ppkm level kemarin dibatalin ganti ppkm nataru wkwkkwkwkwkkwkwkkwkw resign wni,negatif
265,sosialisasi ppkm skala mikro satgas tangkal kodim pontianak dim pontianak,netral
266,ppkm gaiz rangin,netral
267,tolol jalan bikin lewatin warge situ lewatin ja,negatif
268,ppkm tameng politik gejolak ppkm muncul tindak mati ger,negatif
269,atur masuk solo nataru wakil wali kota terap ppkm datang wajib bawa sikm,positif
270,kodim pontianak laksana ppkm skala mikro sabtu dim pontianak,positif
271,dagang wisata makam karno sambut gembira batal ppkm level nataru,netral
272,iyaaa keren kolaborasi ppkm,netral
273,wakil presiden ungkap alas ppkm level periode nataru batal,netral
274,wakil presiden ungkap alas ppkm level periode nataru batal,netral
275,wakil presiden ungkap alas ppkm level periode nataru batal,netral
276,wakil presiden ungkap alas ppkm level periode nataru batal,netral
277,kirain ppkm level iii cabut lbp fans marvel weaboo,netral
278,ilc ppkm wewenang youtube,netral
279,ppkm level nataru batal indonesiasehatindonesiahebat bersatulawancovid negeripulihdenganvaksin,positif
280,ppkm level nataru batal sekolah guru libur,netral
281,park zoo kebun binatang lembang kabupaten bandung barat jabar laku prokes ketat,positif
282,wisata gunungkidul kunjung desember,netral
283,jam korea ppkm bahasa ppkm,netral
284,bangsat kopit libur islam maulid nabi saw geser ppkm reuni aksi dilar,netral
285,ppkm longgar jalan medan asik,netral
286,kith kith ppkm,netral
287,bijak gas rem ppkm level jelang libur nataru batal sesuai kembang data kini,netral
288,moeldoko ppkm level batal presiden longgar tekan prokes,positif
289,ppkm kaga pakai masker,negatif
290,semenjak ppkm batas alhamdulillah kali daftar kuota,positif
291,jaga jarak ppkm,positif
292,anev minggu sitkamtibmas kembang cepat vaksinasi ppkm mikro cuaca ekstrem,positif
293,kaya jam nder jam mentok korea ppkm jam kst gaboleh keramaiam,positif
294,libur ppkm level nataru,netral
295,koramil karangpandan patroli ppkm level tugas pp,netral
296,koramil karangpandan patroli ppkm level tugas pp,netral
297,koramil karangpandan patroli ppkm level tugas pp,netral
298,qur benar qur perintah erat tali silaturahmi batas pakai,netral
299,sertu rohmad ppkm level sisir gedung fatimah,netral
300,pns karyawan bumn libur nataru liburnataru natal,netral
301,gera vaksin gencar perintah salah nilai pemerinta,negatif
302,ppkm level batal natal perintah siap posko sekat,positif
303,gajadii ppkm adaa cutber kann,netral
304,natal warga kota patuh protokol himbauan pemerin,positif
305,syg ppkm maaf kudet,netral
306,liga libur umum laku ppkm level ppkm kadung,netral
307,ppkm level batalin,netral
308,menang apaa ppkm kepada nangiss,netral
309,pakai sony limbah jepang xs renggut ganas ppkm,netral
310,giat patroli rutin kapal pol viii dit polairud polda jabar wilayah air eret indramayu kesem,positif
311,menteri negeri mendagri tito karnavian terbit atur klik,netral
312,kodim blitar laksana operasi yustisi ppkm humanis,positif
313,wujud ppkm level polres tulungagung satgas intens gelar patroli gabung news,positif
314,netijen yaps janlup doi bawa bkin ppkm level,netral
315,polsek mojoroto bktm kel dermo aiptu suhartono sambang posko ppkm mikro himbauan prokes,netral
316,ppkm,netral
317,kolaborasi panggung lanjut endingnya panggung,netral
318,ksp moeldoko batal laku batas giat masyarakat ppkm level bijak,positif
319,untung konsep ppkm alias lemes gabung,netral
320,balik batal ppkm level presiden joko widodo tekan terap,negatif
321,ppkm gigi mnyet,netral
322,ppkm level batal kadin dampak positifsektor terbang,netral
323,puncak ppkm dagang rela nginep penjara gara gara sanggup bayar tebus dagang,negatif
324,polsek bukit batu ppkm skala mikro asistensi terap prokes resepsi nikah,positif
325,ppkm pergi yng vaksin capai yng tentu cbut,netral
326,toxic maskulinity obrol tongkrong sexist akhr didik gerah komen,netral
327,laksana giat patroli gabung polsek tanon rangka laksana ppkm level ii batas mobilitas,positif
328,ppkm level nataru batal wisata gunungkidul kunjung desember,netral
329,polsek bukit batu ppkm skala mikro asistensi terap prokes resepsi nikah,positif
330,yaallah ppkm,netral
331,kolaborasi misah ppkm,netral
332,luhut ppkm level nataru batal tito ppkm level nataru batal ganti judul pantesan jokowi bilang ru,netral
333,ohh batal ppkm,netral
334,tutup sebentar abis maghrib ppkm,netral
335,sabtu desember selesai laksana giat patrolli gabung pol,positif
336,yk ppkm,netral
337,sadar jarang dine ppkm sen take away biasa,netral
338,psbb psbb transisi ppkm ppkm mikro tebal ppkm mikro ppkm darurat jamin hidup istilah,positif
339,pilar apel patroli ppkm wilayah wonokromo,positif
340,ppkm level nataru batal polri gelar operasi lilin,positif
341,ppkm level batal wali kota kendari ingat disiplin prokes inilahcom inilahdotcom,positif
342,ppkm,netral
343,ppkm situ wisata aman,netral
344,ilc ppkm wewenang youtube,netral
345,cerita bicara ppkm versi nama,netral
346,satgas terap ppkm sesuai level kabupaten nataru,positif
347,rencana ppkm level laku jelang libur nataru batal bijak gas rem presid,positif
348,bicara pancasila adil negeri pancasila adil sosial rakyat,netral
349,ppkm laku vaksin,netral
350,polsek mojoroto bktm kel gayam bripka hafiz sambang posko ppkm mikro himbauan prokes sosialisasiedukasiprokes,positif
351,ppkm level batal sekolah libur disdik jabar,netral
352,kemarin bela bain prokes ppkm dukung rezim manfaat cari uang,negatif
353,ppkm gagal natal,netral
354,operasi yustisi gabung tni polri rangka ppkm level cegah kendali,positif
355,urang tasik basa ppkm penjara dagang ge keur butuh hirup ieu jelema kieu patut dilepaskeun,netral
356,kabid humas polda jabar polisi hadir sosialisasi cegah latih tracer upt puskesmas ci,netral
357,ppkm level batal idi nilai pemda tanggungjawab cegah nataru tribun jateng,positif
358,jelang ppkm nataru bupati fauzi imbau masyarakat patuh bijak perintah pdiperjuangan solidbergerak ht,positif
359,ppkm selesai,netral
360,polsek mojoroto bktm kel bandar lor aiptu wagianto sambang posko ppkm mikro himbauan prokes,positif
361,wakil presiden maruf amin perintah tetap batas giat masyarakat libur natal,positif
362,tentu ppkm nataru hallo nawak ngerab admin info tentu ppkm nataru paham,netral
363,pijat monggo harga ppkm mahal mahal puas pijat sila dm gaymalang,netral
364,polsek pesantren bktm pakunden aipda didik laksana sambang himbauan tugas posko ppkm mikro,positif
365,patroli himbauan tegur dagang beli pasar krempyeng kel pandean lamper,positif
366,gasih dagang kena sanksi gara makan ppkm penjara,negatif
367,polsek mojoroto bktm kel lirboyo aiptu had suwignyo sambang posko ppkm mikro himbauan prokes,positif
368,survei kemenhub ppkm level batal terap juta pergi libur nataru,netral
369,ppkm level batal kopit pending gaess,netral
370,ppkm khusus natal,netral
371,sinergi lawan anggota koramil godong polsek godong sinergi gelar operasi yustisi tega ppkm le,positif
372,ppkm kaum cilik remuk ora ppkm macet raumom hessss urip og ngene wae,netral
373,ppkm laku natal,netral
374,bandung fix jakarta fix pekanbaru fix batam lihat jadwal gonta ganti pp,netral
375,ppkm,netral
376,ppkm level tiada point instruksi mendagri baru libur nataru,netral
377,efek ppkm hideo kojima,netral
378,ngapain ppkm level,netral
379,ppkm level batal idi nilai pemda tanggungjawab cegah nataru,positif
380,ppkm level batal ehehe,netral
381,perintah terap laku batas giat masyarakat ppkm level tekan,positif
382,unit sabhara polsek bantul laksana giat patroli dialogis himbauan ppkm sambang pes,positif
383,warga taat atur laku ppkm atas vaksin lindun,positif
384,perintah terap laku batas giat masyarakat ppkm level tekan,positif
385,memanx kompak jajah pakai masker rapid pcr vaksin ppkm,netral
386,jelang laksana laku batas giat masyarakat ppkm natal nataru meri,positif
387,jelang ppkm nataru bupati fauzi imbau masyarakat patuh bijak perintah pdiperjuangan solidbergerak,positif
388,libur nataru batal ppkm ppkm libur lebaran idul fitri idul adha,netral
389,dukung vaksinasi ppkm,positif
390,kukar personel polres kukar bersam tim gabung giat ppkm level laksana giat terap sip,positif
391,movie kaya selametan ramai rilis ppkm ketat,netral
392,bijak ppkm laku sulit cari dapat hari masyaraka,netral
393,lt vero expobandung expojogja jadwal expo krna takut bijak ppkm ubah,netral
394,moment emas ketemu sanak sodara lepas ppkm,positif
395,ngerem uma asa ppkm level ti gayel nyarik bensin,netral
396,ppkm presiden mundur ppkmhanyauntukmuslim,negatif
397,dukung program ppkm vaksinasi,positif
398,kemarin ajak pulkam jogja gajadi gara gara ppkm monyet,negatif
399,koyo ora ramai nemen wonge dok plesir timbang belonjo ora ono ppkm soale,netral
400,ppkm talk malam banget udara lupa atur ingat tinggal how social,netral
401,ppkm singkat poddperth khaomark,netral
402,dizah pergi kemarin wiwit motor wiwit,netral
403,duga anyway jurnalis kasi rangkum,netral
404,efek ppkm,netral
405,polsek benowo pantau terap atur prokes ppkm,positif
406,ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal,positif
407,ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal,positif
408,ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal,positif
409,karanganyar sabtu desember sertu joko haliyanto anggota koramil tasikmadu tim ppkm mikro desa,positif
410,ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal,positif
411,karanganyar sabtu desember sertu joko haliyanto anggota koramil tasikmadu tim ppkm mikro desa,positif
412,jakarta perintah bijak ketat aktivitas masyarakat libur natal alia,positif
413,karanganyar sabtu desember sertu joko haliyanto anggota koramil tasikmadu tim ppkm mikro desa,netral
414,ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal,positif
415,ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal,positif
416,ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal,positif
417,cegah sebar polres pulau ribu polsek jajar himbau prokes bagi masker warga,positif
418,libur ppkm tanggal,netral
419,cegah sebar polres pulau ribu polsek jajar himbau prokes bagi masker warga,positif
420,cegah sebar polres pulau ribu polsek jajar himbau prokes bagi masker warga,positif
421,cegah sebar polres pulau ribu polsek jajar himbau prokes bagi masker warga,positif
422,batal pusat anies kadung teken atur ppkm level libur gubernur dikerjain rakyat,positif
423,karanganyar sabtu desember sertu suharno kopda ristio pramono anggota koramil mojogedang,netral
424,karanganyar sabtu desember sertu suharno kopda ristio pramono anggota koramil mojogedang,netral
425,karanganyar sabtu desember sertu suharno kopda ristio pramono anggota koramil mojogedang,netral
426,kilasgiat sabtu tugas pp jakarta camat tanjung priok laksana patroli awas batas giat,positif
427,operasi yustisi unsur pilar laku ppkm level pimpin kompol yusup suhadma sh pasar ik,netral
428,babinsa ingat warga bina terap ppkm lengkap,netral
429,takut gara gara gada ppkm vax rate nurun variant months effectiveness drop,netral
430,operasional situasi kondusif info sesuai kembang,netral
431,halo hubung tanggap ppkm darurat giat weekend banking,netral
432,sinergi lawan anggota koramil godong polsek godong sinergi gelar operasi yustisi tega pp,netral
433,laksana giat patroli gabung rangka laksana ppkm level ii batas mobilitas pindah masyarak,positif
434,babinsa koramil singkarak ingat warga ppkm pasar tradisional lengkap,netral
435,ppkm panjang sampek kowe dadi bojoku,netral
436,jakarta laku ppkm level ada giat kerumun,negatif
437,ppkm jilid,netral
438,edukasi prokes door door cegah babinsa koramil wirosari serda sumarsono laksana pengawasa,positif
439,cvd end ppkm level,netral
440,lagi stress tuuh rangorang akibat ppkm level,negatif
441,langgar atur ppkm suap jadi beda aparat terima,negatif
442,cegah tular areal pasar babinsa koramil purwodadi sertu sunardi laksana disiplin prokes,positif
443,ppkm level batal poin atur ketat libur nataru,positif
444,ppkm tiada kasih libur,netral
445,relaksasi ppkm pergi healing trip bal batam medan kara,netral
446,operasi yustisi malam tim gabung koramil godong polsek godong satpolpp gelar operasi yustisi ppkm le,positif
447,ppkm cabut khusus cilacap ppkm libur,netral
448,video ambil ppkm,netral
449,mpo dinar candy nepatin janji ppkm panjang doi pakai bikini pinggir jalan liat lihat,netral
450,iyaa ppkm dibatalin libur januari gara gara diknas ajaa kebelet libur banget hiks,netral
451,oiyeee ppkm psbb psminggu ye kabariiin dooong mo ancang gue,netral
452,bhabinkamtibmas desa babelan kota aipda jajang laksana sambang tokoh masyarakat pesan kamtibmas,netral
453,ppkm ppkm biji presiden ledak,negatif
454,ppkm pemuda pemudi kurang money situation for now,netral
455,babinsa ajak warga patuh prokes anggota koramil tawangharjo sambang warga himbau patuh prokes ppkm lev,positif
456,bhabinkamtibmas desa kedung jaya aiptu irwan laksana sambang tokoh masyarakat pesan kamtibmas,netral
457,wkwkwk artis coba lihat ppkm lvl gagal muktama,netral
458,kasihan dagang kaki plnggar ppkm jual penjara duit beda,positif
459,yuk saksi acara ilc desember datuk acara kakak hana,netral
460,ppkm wewenang jam malam youtube indonesia lawyers club subscribe,netral
461,adaa natal ppkm natal,netral
462,pacar gdbye ppkm,netral
463,ppkm pesan,netral
464,minimalisir sebar babinsa koramil grobogan laksana disiplin prokes malam ppkm leve,positif
465,tebak sidang formalitas gilir dagang ppkm jual penjara beberap,netral
